Longitude,Latitude,Entity,Code,Year,Deaths - Air pollution - Sex: Both - Age: Age-standardized (Rate)
-7.9794599,52.865196,Ireland,IRL,2017,14.667470964625556
34.8667654,31.5313113,Israel,ISR,2017,21.257973557981302
12.674297,42.6384261,Italy,ITA,2017,16.75889407644987
-77.3947693,18.1850507,Jamaica,JAM,2017,41.8900571294336
139.2394179,36.5748441,Japan,JPN,2017,11.386092450350931
36.941628,31.1667049,Jordan,JOR,2017,39.44835403773899
65.2093197,47.2286086,Kazakhstan,KAZ,2017,52.12178760199129
38.4313975,1.4419683,Kenya,KEN,2017,90.3458197679713
173.664834025,0.306,Kiribati,KIR,2017,153.74024119230128
47.4979476,29.2733964,Kuwait,KWT,2017,34.78580059858391
74.724091,41.5089324,Kyrgyzstan,KGZ,2017,70.16414517149336
103.378253,20.0171109,Laos,LAO,2017,119.68570827941512
24.7537645,56.8406494,Latvia,LVA,2017,34.25710938331846
35.843409,33.8750629,Lebanon,LBN,2017,49.84311847644708
28.3350193,-29.6039267,Lesotho,LSO,2017,151.950853259576
-9.3658524,5.7499721,Liberia,LBR,2017,113.1579595811448
18.1236723,26.8234472,Libya,LBY,2017,72.78869191749322
23.7499997,55.3500003,Lithuania,LTU,2017,33.17304660318631
6.1296751,49.8158683,Luxembourg,LUX,2017,15.97749926375693
21.7168387,41.6171214,Macedonia,MKD,2017,49.98650948279586
46.4416422,-18.9249604,Madagascar,MDG,2017,155.06950760658387
33.9301963,-13.2687204,Malawi,MWI,2000,172.92017170460772
33.9301963,-13.2687204,Malawi,MWI,2017,104.93508417351862
102.2656823,4.5693754,Malaysia,MYS,2017,50.44055047327774
73.3287853,4.7064352,Maldives,MDV,2017,21.43409424046895
-2.2900239,16.3700359,Mali,MLI,2017,107.07540576931815
14.4476911,35.8885993,Malta,MLT,2017,23.624933392767463
170.9985095,6.9518742,Marshall Islands,MHL,2017,93.04476503315009
-9.2399263,20.2540382,Mauritania,MRT,2017,83.84267118415103
57.5703566,-20.2759451,Mauritius,MUS,2017,48.68229856910007
-100.0000375,22.5000485,Mexico,MEX,2017,44.40708421938613
28.5670941,47.2879608,Moldova,MDA,2017,49.8682362169943
103.8499736,46.8250388,Mongolia,MNG,2017,81.61391845496415
19.5180992,42.9868853,Montenegro,MNE,2017,47.54888833809019
-7.3362482,31.1728205,Morocco,MAR,2017,67.26864667934552
34.9144977,-19.302233,Mozambique,MOZ,2017,125.85633337307777
95.9999652,17.1750495,Myanmar,MMR,2017,118.10524630170325
17.3231107,-23.2335499,Namibia,NAM,2017,75.60720741392433
84.0917139,28.1083929,Nepal,NPL,2017,133.26111106641983
5.7480821,52.5001698,Netherlands,NLD,2017,18.612504280752685
172.8344077,-41.5000831,New Zealand,NZL,2017,8.598756880012333
-85.2936911,12.6090157,Nicaragua,NIC,2017,33.43893638008532
9.3238432,17.7356214,Niger,NER,2017,138.46776300076368
7.9999721,9.6000359,Nigeria,NGA,2017,81.22147297940873
127.0870417,40.3736611,North Korea,PRK,2017,140.4386936637694
9.0999715,60.5000209,Norway,NOR,2017,10.888941039349435
57.0036901,21.0000287,Oman,OMN,2017,53.699089258385115
71.247499,30.3308401,Pakistan,PAK,2017,123.21548005051204
-81.1308434,8.559559,Panama,PAN,2017,21.312229370981058
144.2489081,-5.6816069,Papua New Guinea,PNG,2017,245.29640397227243
-58.1693445,-23.3165935,Paraguay,PRY,2017,41.98531211229416
-75.0458515,-6.8699697,Peru,PER,2017,30.145899172385008
122.7312101,12.7503486,Philippines,PHL,2017,106.87248335051554
19.134422,52.215933,Poland,POL,2017,34.26669113638126
-7.8896263,40.0332629,Portugal,PRT,2017,15.49125211039693
51.2295295,25.3336984,Qatar,QAT,2017,61.793882945014076
24.6859225,45.9852129,Romania,ROU,2017,40.416006134925496
97.7453061,64.6863136,Russia,RUS,2017,42.73102727671296
30.0644358,-1.9646631,Rwanda,RWA,2017,97.08200323569254
-60.975036,13.8250489,Saint Lucia,LCA,2017,39.21108794192493
-61.2765569,12.90447,Saint Vincent and the Grenadines,VCT,2017,48.67290215956563
-172.1200508,-13.7693895,Samoa,WSM,2017,76.83415607894658
6.9648718,0.8875498,Sao Tome and Principe,STP,2017,110.08124488937102
42.3528328,25.6242618,Saudi Arabia,SAU,2017,64.07581882776527
-14.4529612,14.4750607,Senegal,SEN,2017,106.05521182020519
20.55144,44.1534121,Serbia,SRB,2017,62.57853348270601
55.4540146,-4.6574977,Seychelles,SYC,2017,42.32630251704251
-11.8400269,8.6400349,Sierra Leone,SLE,2017,149.59833720319767
103.8194992,1.357107,Singapore,SGP,2017,19.980127647036646
19.4528646,48.7411522,Slovakia,SVK,2017,35.36190176779609
14.4808369,45.8133113,Slovenia,SVN,2017,19.72328919282849
159.10710973724628,-8.7053941,Solomon Islands,SLB,2017,187.2542829404484
49.083416,8.3676771,Somalia,SOM,2017,165.82858222804225
24.991639,-28.8166236,South Africa,ZAF,2017,57.853890015715216
127.6961188,36.638392,South Korea,KOR,2017,21.69790198713537
29.6667897,7.8699431,South Sudan,SSD,2017,156.1654698833523
-4.8380649,39.3262345,Spain,ESP,2017,14.481292760208191
80.7137847,7.5554942,Sri Lanka,LKA,2017,38.46263658418249
29.4917691,14.5844444,Sudan,SDN,2017,95.70386241591243
-56.0771187,4.1413025,Suriname,SUR,2017,48.714428646444254
31.3991317,-26.5624806,Swaziland,SWZ,2017,106.34176901707583
14.5208584,59.6749712,Sweden,SWE,2017,9.395303079970224
8.2319736,46.7985624,Switzerland,CHE,2017,11.705171652358956
39.0494106,34.6401861,Syria,SYR,2017,64.22641351172673
120.9820179,23.9739374,Taiwan,TWN,2017,32.74411355504219
70.8156541,38.6281733,Tajikistan,TJK,2017,94.29643742673285
35.7878438,-6.5247123,Tanzania,TZA,2017,96.53732288410468
100.83273,14.8971921,Thailand,THA,2017,32.81342263200955
1.0199765,8.7800265,Togo,TGO,2017,115.22943381323176
-175.2026424,-19.9160819,Tonga,TON,2017,70.72940437136224
-60.9821067,10.8677845,Trinidad and Tobago,TTO,2017,51.808704909470634
9.400138,33.8439408,Tunisia,TUN,2017,51.6134134952881
34.9249653,38.9597594,Turkey,TUR,2017,46.77557879410172
59.3924609,39.3763807,Turkmenistan,TKM,2017,67.29758185900461
32.2166578,1.5333554,Uganda,UGA,2017,93.71754318661084
31.2718321,49.4871968,Ukraine,UKR,2017,63.88562435228056
53.9994829,24.0002488,United Arab Emirates,ARE,2017,77.84550799288915
-3.2765753,54.7023545,United Kingdom,GBR,2017,17.783700150135274
-100.4458825,39.7837304,United States,USA,2017,18.825145673515728
-56.0201525,-32.8755548,Uruguay,URY,2017,20.401974704797812
63.9528098,41.32373,Uzbekistan,UZB,2017,105.0869241795173
168.1069154,-16.5255069,Vanuatu,VUT,2017,139.65072868617003
-66.1109318,8.0018709,Venezuela,VEN,2017,34.74692209399745
108.4265113,13.2904027,Vietnam,VNM,2017,60.31753329796778
47.8915271,16.3471243,Yemen,YEM,2017,96.50135104729175
27.5599164,-14.5186239,Zambia,ZMB,2017,98.86996277703714
29.7468414,-18.4554963,Zimbabwe,ZWE,2017,125.02884259285017
